"","time","a_temp","a_rh","dew_point","serial_no","logger"
"1",2019-04-03 16:00:00,22.5,30.5,4.3,"010150511","L1"
"2",2019-04-03 16:15:00,22,31.5,4.3,"010150511","L1"
"3",2019-04-03 16:30:00,21,32,3.7,"010150511","L1"
"4",2019-04-03 16:45:00,20,33.5,3.5,"010150511","L1"
"5",2019-04-03 17:00:00,20,33.5,3.5,"010150511","L1"
"6",2019-04-03 17:15:00,20,33.5,3.5,"010150511","L1"
"7",2019-04-03 17:30:00,20.5,33,3.7,"010150511","L1"
"8",2019-04-03 17:45:00,19.5,34.5,3.4,"010150511","L1"
"9",2019-04-03 18:00:00,20,34.5,3.9,"010150511","L1"
"10",2019-04-03 18:15:00,20,35,4.1,"010150511","L1"
"11",2019-04-03 18:30:00,19,37,4,"010150511","L1"
"12",2019-04-03 18:45:00,19.5,37,4.4,"010150511","L1"
"13",2019-04-03 19:00:00,19,37.5,4.2,"010150511","L1"
"14",2019-04-03 19:15:00,18,38.5,3.7,"010150511","L1"
"15",2019-04-03 19:30:00,17.5,38,3,"010150511","L1"
"16",2019-04-03 19:45:00,17,38.5,2.8,"010150511","L1"
"17",2019-04-03 20:00:00,17,39.5,3.1,"010150511","L1"
"18",2019-04-03 20:15:00,16.5,39.5,2.7,"010150511","L1"
"19",2019-04-03 20:30:00,16,41,2.8,"010150511","L1"
"20",2019-04-03 20:45:00,15.5,43,3,"010150511","L1"
"21",2019-04-03 21:00:00,15.5,44.5,3.5,"010150511","L1"
"22",2019-04-03 21:15:00,15,45,3.2,"010150511","L1"
"23",2019-04-03 21:30:00,15,45,3.2,"010150511","L1"
"24",2019-04-03 21:45:00,15,45.5,3.3,"010150511","L1"
"25",2019-04-03 22:00:00,14.5,46,3,"010150511","L1"
"26",2019-04-03 22:15:00,14,48,3.2,"010150511","L1"
"27",2019-04-03 22:30:00,13.5,48.5,2.9,"010150511","L1"
"28",2019-04-03 22:45:00,13.5,49.5,3.2,"010150511","L1"
"29",2019-04-03 23:00:00,13,51.5,3.3,"010150511","L1"
"30",2019-04-03 23:15:00,13,53,3.7,"010150511","L1"
"31",2019-04-03 23:30:00,12.5,54,3.5,"010150511","L1"
"32",2019-04-03 23:45:00,12,55,3.3,"010150511","L1"
"33",2019-04-04 00:00:00,11.5,55.5,2.9,"010150511","L1"
"34",2019-04-04 00:15:00,11.5,57,3.3,"010150511","L1"
"35",2019-04-04 00:30:00,11,58,3.1,"010150511","L1"
"36",2019-04-04 00:45:00,11,58.5,3.2,"010150511","L1"
"37",2019-04-04 01:00:00,10.5,60,3.1,"010150511","L1"
"38",2019-04-04 01:15:00,10.5,60.5,3.2,"010150511","L1"
